manufacturer,name,speed,glide,turn,fade,diameter,height,rim_depth,rim_width,bead,stability,link
Discmania,Tactic,4.0,2.0,0.0,3.0,21.4 cm,1.8 cm,1.4 cm,1.1 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-Tactic
Discmania,Gremlin GM,5.0,4.0,0.0,2.0,21.2 cm,1.8 cm,1.2 cm,1.4 cm,Beaded,Overstable,https://infinitediscs.com/Discmania-Gremlin-GM
Discmania,MD3,5.0,5.0,0.0,2.0,21.8 cm,1.9 cm,1.3 cm,1.4 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-MD3
Discmania,MD4,5.0,4.0,0.0,3.0,21.7 cm,1.6 cm,1.4 cm,1.4 cm,Beaded,Very Overstable,https://infinitediscs.com/Discmania-MD4
Discmania,Method,5.0,5.0,0.0,3.0,21.9 cm,2.1 cm,1.3 cm,1.3 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-Method
Discmania,MD5,5.0,3.0,0.0,4.0,21.0 cm,1.9 cm,1.3 cm,1.4 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-MD5
Discmania,Magician,6.0,4.0,0.0,2.0,21.0 cm,1.5 cm,1.1 cm,1.6 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Magician
Discmania,Genius,7.0,5.0,-4.0,1.0,21.3 cm,1.8 cm,1.2 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/Discmania-Genius
Discmania,FD,7.0,6.0,-1.0,1.0,21.2 cm,1.8 cm,1.1 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Discmania-FD
Discmania,FD2,7.0,4.0,0.0,2.0,21.2 cm,1.6 cm,1.1 cm,1.8 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-FD2
Discmania,Instinct,7.0,5.0,0.0,2.0,21.2 cm,1.8 cm,1.1 cm,1.7 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Instinct
Discmania,Essence,8.0,6.0,-2.0,1.0,21.0 cm,1.8 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Essence
Discmania,TDx,9.0,5.0,-3.0,1.0,21.1 cm,1.5 cm,1.2 cm,2.0 cm,Beadless,Understable,https://infinitediscs.com/Discmania-TDx
Discmania,CD2,9.0,5.0,-1.0,2.0,21.1 cm,1.9 cm,1.1 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Discmania-CD2
Discmania,FD3,9.0,4.0,0.0,3.0,21.2 cm,1.7 cm,1.1 cm,2.0 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-FD3
Discmania,TD2 Fever,10.0,5.0,-4.0,1.0,21.1 cm,1.6 cm,1.1 cm,2.1 cm,Beadless,Understable,https://infinitediscs.com/Discmania-TD2-Fever
Discmania,TD,10.0,6.0,-2.0,1.0,21.2 cm,1.6 cm,1.1 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/Discmania-TD-Rush
Discmania,CD,10.0,5.0,-1.0,2.0,21.2 cm,1.3 cm,1.1 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Discmania-CD-Craze
Discmania,PD,10.0,4.0,0.0,3.0,21.1 cm,1.7 cm,1.2 cm,1.9 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-PD-Freak
Discmania,Mentor,11.0,5.0,-2.0,2.0,21.0 cm,1.7 cm,1.1 cm,2.1 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Mentor
Discmania,CD3,11.0,5.0,-1.0,2.0,21.1 cm,2.0 cm,1.2 cm,2.1 cm,Beadless,Stable,https://infinitediscs.com/Discmania-CD3
Discmania,DD,11.0,5.0,0.0,2.0,21.1 cm,1.6 cm,1.2 cm,2.2 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-DD-Hysteria
Discmania,PDx,11.0,4.0,0.0,3.0,21.1 cm,1.9 cm,1.2 cm,2.1 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-PDx
Discmania,PD3,11.0,3.0,0.0,5.0,21.2 cm,1.6 cm,1.2 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-PD3
Discmania,DDx,12.0,6.0,-1.0,2.0,21.1 cm,1.7 cm,1.1 cm,2.3 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-DDx
Discmania,Enigma,12.0,5.0,-1.0,2.0,21.1 cm,1.7 cm,1.1 cm,2.3 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Evolution-Enigma
Discmania,DD3,12.0,5.0,-1.0,3.0,21.0 cm,1.8 cm,1.2 cm,2.4 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-DD3
