manufacturer,name,speed,glide,turn,fade,diameter,height,rim_depth,rim_width,bead,stability,link
Daredevil,Yeti,13.0,5.0,-3.0,1.0,21.1 cm,1.6 cm,1.1 cm,2.5 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Yeti
Daredevil,Sasquatch,12.0,5.0,-5.0,1.0,21.0 cm,1.7 cm,1.1 cm,2.5 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Sasquatch
Daredevil,Ogopogo,9.0,4.0,-2.0,5.0,21.1 cm,1.5 cm,1.5 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Ogopogo
Daredevil,Merlin,14.0,4.0,-1.0,5.0,21.0 cm,1.7 cm,1.1 cm,2.3 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Merlin
Daredevil,Mammoth,9.0,4.0,-1.0,5.0,21.1 cm,1.7 cm,1.2 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Mammoth
Daredevil,Buffalo,9.0,4.0,-1.0,5.0,21.2 cm,1.6 cm,1.2 cm,2.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Daredevil-Buffalo
Daredevil,Timberwolf,8.0,5.0,-1.0,1.0,21.1 cm,1.6 cm,1.2 cm,1.8 cm,Beadless,Stable,https://infinitediscs.com/Daredevil-Timberwolf
Daredevil,Woodchuck,2.0,3.0,-1.0,0.0,21.3 cm,1.7 cm,1.3 cm,1.7 cm,Beadless,Understable,https://infinitediscs.com/Daredevil-Woodchuck
Discmania,P3x,3.0,2.0,0.0,3.0,21.2 cm,1.9 cm,1.6 cm,1.1 cm,Beaded,Overstable,https://infinitediscs.com/Discmania-P3x
Discmania,Tactic,4.0,2.0,0.0,3.0,21.4 cm,1.8 cm,1.4 cm,1.1 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-Tactic
Discmania,TD,10.0,6.0,-2.0,1.0,21.2 cm,1.6 cm,1.1 cm,1.9 cm,Beadless,Understable,https://infinitediscs.com/Discmania-TD-Rush
Discmania,P3,3.0,5.0,0.0,3.0,21.2 cm,2.0 cm,1.2 cm,1.0 cm,Beadless,Very Overstable,https://infinitediscs.com/Discmania-P3
Discmania,Tiger Warrior,3.0,3.0,0.0,1.0,21.1 cm,1.8 cm,1.5 cm,0.9 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Tiger-Warrior
Discmania,P2,2.0,3.0,0.0,1.0,21.2 cm,2.1 cm,1.5 cm,1.0 cm,Beadless,Stable,https://infinitediscs.com/Discmania-P2
Discmania,Enigma,12.0,5.0,-1.0,2.0,21.1 cm,1.7 cm,1.1 cm,2.3 cm,Beadless,Stable,https://infinitediscs.com/Discmania-Evolution-Enigma
Discmania,P1,2.0,3.0,0.0,0.0,21.2 cm,2.0 cm,1.5 cm,0.9 cm,Beadless,Stable,https://infinitediscs.com/Discmania-P1
Discmania,CD,10.0,5.0,-1.0,2.0,21.2 cm,1.3 cm,1.1 cm,1.9 cm,Beadless,Stable,https://infinitediscs.com/Discmania-CD-Craze
Discmania,CD3,11.0,5.0,-1.0,2.0,21.1 cm,2.0 cm,1.2 cm,2.1 cm,Beadless,Stable,https://infinitediscs.com/Discmania-CD3
Discmania,DD,11.0,5.0,0.0,2.0,21.1 cm,1.6 cm,1.2 cm,2.2 cm,Beadless,Overstable,https://infinitediscs.com/Discmania-DD-Hysteria
